id,query,category,desc,route,latency,status_tier,reason,batch_id,retry_used
1,TR069 CWMP Setting,article_answer,Normal Technical,ERROR,0.0,FAIL_HARD,Read Timeout (Final),1,True
2,วิธีแก้ TR069 ที่ลูกค้าออนไลน์หลุดบ่อย,article_answer,Synonym HowTo,rag_miss_coverage,51828.927993774414,FAIL_HARD,"Route mismatch: Got rag_miss_coverage, Expected article_answer",1,False
3,วิธีคอนฟิก Huawei fttx,article_answer,Config Procedure,rag_miss_coverage,19928.00498008728,FAIL_HARD,"Route mismatch: Got rag_miss_coverage, Expected article_answer",1,False
4,tr069 หลุดบ่อยทำยังไงดี,article_answer,Colloquial Troubleshooting,rag_miss_coverage,34275.15387535095,FAIL_HARD,"Route mismatch: Got rag_miss_coverage, Expected article_answer",1,False
5,Huawei fttx มีปัญหา speed ตก,article_answer,Performance Issue,rag_low_score_gate,14197.163820266724,PASS_SAFE,Safely gated low-confidence technical query,1,False
6,เซตค่า IP_SSH ทำไง,article_answer,Short Tech Question,article_answer,29474.86710548401,PASS_STRICT,Perfect article format,1,False
7,คู่มือ NCS เบื้องต้น,article_answer,Manual Search,rag_miss_coverage,33854.80976104736,FAIL_HARD,"Route mismatch: Got rag_miss_coverage, Expected article_answer",1,False
8,ข้อจำกัดของ NCS มีอะไรบ้าง,article_answer,Specific Constraint,article_answer,58984.09914970398,PASS_STRICT,Perfect article format,1,False
9,edoc เข้าเข้าไม่ได้,article_answer,Slang/Short Term,ERROR,0.0,FAIL_HARD,Read Timeout (Final),1,True
10,วิธีโอนเบอร์ IP Phone,article_answer,Specific Feature,rag_low_score_gate,61337.894916534424,PASS_SAFE,Safely gated low-confidence technical query,1,False
11,เบอร์ สื่อสารข้อมูล ภูเก็ต,contact_hit,Regional Contact,contact_hit_contact_book_fuzzy,13675.90308189392,PASS_SAFE,Contact context present,2,False
12,เบอร์ Intra TOT,contact_hit,Legacy Contact,contact_hit_contact_book_fuzzy,36100.96001625061,PASS_STRICT,Found contact info,2,False
13,เบอร์โทรหาดใหญ่,contact_hit,City Contact,cache_hit,18441.17498397827,PASS_SAFE,Contact context present,2,False
14,ติดต่อแผนกไอที,contact_hit,Team Search,cache_hit,30018.097162246704,PASS_SAFE,Contact context present,2,False
15,ขอเบอร์ช่างซ่อมบำรุง,contact_hit,Role Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),2,True
16,เบอร์ สอ.,contact_hit,Acronym Search,clarify_miss,66712.68200874329,PASS_SAFE,Appropriate ambiguity/re-ask behavior,2,True
17,รายชื่อเจ้าหน้าที่ สระบุรี,contact_hit,Regional List,ERROR,0.0,FAIL_HARD,Read Timeout (Final),2,True
18,เบอร์โทรศัพท์ 02-123-4567,contact_lookup,Reverse Search,contact_miss_strict,45886.001110076904,PASS_SAFE,Contact context present,2,False
19,ทีม Operation Support คือใคร,contact_hit,Team Identification,ERROR,0.0,FAIL_HARD,Read Timeout (Final),2,True
20,เบอร์โทรศัพท์มือถือคุณจตุพร,contact_hit,Named Person Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),2,True
21,ตาราง proxy IP PHONE,needs_choice,Table Display,article_answer,26452.635049819946,PASS_STRICT,UX OK: Full article provided instead of menu,3,False
22,คู่มือปฏิบัติงาน 1177 ภาคใต้,needs_choice,Navigational Guide,article_answer,60831.70485496521,PASS_STRICT,UX OK: Full article provided instead of menu,3,False
23,ระเบียบการลาพักร้อน,article_answer,HR Policy,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
24,ดาวน์โหลดฟอร์มเบิกสวัสดิการ,article_answer,Document Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
25,ปฏิทินวันหยุด 2567,article_answer,Date Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
26,โครงสร้างองค์กร NT,article_answer,Org Chart,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
27,รายชื่อศูนย์บริการ กรุงเทพ,needs_choice,Service Center List,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
28,แพ็กเกจเน็ตบ้าน,needs_choice,Product List,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
29,โปรโมชั่นล่าสุด,needs_choice,Recency Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
30,พื้นที่ให้บริการ 5G,article_answer,Coverage Search,ERROR,0.0,FAIL_HARD,Read Timeout (Final),3,True
31,NCS คืออะไร,article_answer,Definition,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
32,ระบบ FTTx ทำงานยังไง,article_answer,System Core,rag_miss_coverage,43081.883907318115,FAIL_HARD,"Route mismatch: Got rag_miss_coverage, Expected article_answer",4,False
33,ความแตกต่างระหว่าง IPv4 และ IPv6,article_answer,Comparison,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
34,อธิบายเรื่อง VLAN,article_answer,Explanation,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
35,ขั้นตอนการรับพนักงานใหม่,article_answer,Admin Process,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
36,สิทธิการเบิกค่ารักษาพยาบาล,article_answer,Benefit Policy,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
37,กติกาการใช้รถส่วนกลาง,article_answer,Facility Policy,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
38,ระบบรักษาความปลอดภัย NT,article_answer,Security Concept,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
39,นโยบาย PDPA,article_answer,Compliance,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
40,จริยธรรมองค์กร,article_answer,Ethics,ERROR,0.0,FAIL_HARD,Read Timeout (Final),4,True
41,,greeting,Empty Input,quick_reply,34345.091104507446,PASS_SAFE,Correct safety/miss behavior,5,True
42,😂😂😂,greeting,Emoji Only,quick_reply,108.14189910888672,PASS_SAFE,Correct safety/miss behavior,5,False
